target,method,brier,log_loss,n_binary_observations,expected_calibration_error,probability_std,monotonicity_violations
strikeouts,poisson,0.12448545784994997,0.387125732904692,40590,0.0021112582806068862,0.30269214744975304,0
outs_recorded,conditional_empirical,0.1423382008079371,0.4395141494572188,49610,0.014504802416737912,0.31404032286647726,0
