target,model,split,mae,rmse,bias,correlation,poisson_deviance,n,feature_family
strikeouts,hist_gradient_boosting,train_2021_2021_validate_2022,1.8473702053595282,2.323343543857544,-0.05597642004673308,0.39166305441348886,1.231637981932621,4860,pitcher_history
outs_recorded,hist_gradient_boosting,train_2021_2021_validate_2022,3.130744677604071,4.047217241397755,-0.5590872845902494,0.4122458510500891,1.2332092253216271,4860,pitcher_history
batters_faced,hist_gradient_boosting,train_2021_2021_validate_2022,3.159862197517305,4.215880027152872,-0.4955418642687142,0.46720405368321677,0.9768356315969512,4860,pitcher_history
pitches_thrown,hist_gradient_boosting,train_2021_2021_validate_2022,11.591398097287374,15.390133674599,-2.2519496217929786,0.48365302022749324,3.4458026097118912,4860,pitcher_history
strikeouts,hist_gradient_boosting,train_2021_2022_validate_2023,1.8750863874623305,2.3503296484311127,-0.00980866416489583,0.39093663322322364,1.2477160345826315,4860,pitcher_history
outs_recorded,hist_gradient_boosting,train_2021_2022_validate_2023,3.1243925787681346,4.024247251025922,-0.0001930976596692399,0.44063047487683554,1.2408857754118248,4860,pitcher_history
batters_faced,hist_gradient_boosting,train_2021_2022_validate_2023,3.187262303844184,4.296353448800389,-0.11205573393109038,0.5204046245059297,1.0461389390766576,4860,pitcher_history
pitches_thrown,hist_gradient_boosting,train_2021_2022_validate_2023,11.390147778755232,15.696215777131092,-0.6843005621140206,0.5463120159736156,3.69485614667451,4860,pitcher_history
strikeouts,hist_gradient_boosting,train_2021_2023_validate_2024,1.8590008034851015,2.3108142406918386,-0.011466375374531849,0.3635890905339557,1.2206644306480208,4850,pitcher_history
outs_recorded,hist_gradient_boosting,train_2021_2023_validate_2024,2.960449842234876,3.876921668064602,-0.07495991548254699,0.4056783047592859,1.1218812698317755,4850,pitcher_history
batters_faced,hist_gradient_boosting,train_2021_2023_validate_2024,2.878374606342941,3.9621155930516285,-0.0019394394080097872,0.48973665171557285,0.864483177732365,4850,pitcher_history
pitches_thrown,hist_gradient_boosting,train_2021_2023_validate_2024,10.138446286456068,14.319333453266415,-0.15976048187158431,0.5181777890547121,3.0107963999626723,4850,pitcher_history
strikeouts,hist_gradient_boosting,train_2021_2021_validate_2022,1.8284317583041951,2.3051104986856625,-0.0608614318656526,0.4088215578870625,1.2131493557117745,4860,workload
outs_recorded,hist_gradient_boosting,train_2021_2021_validate_2022,3.020875669302291,3.9255858442491016,-0.5659095150625676,0.4701682047414481,1.1500085341933701,4860,workload
batters_faced,hist_gradient_boosting,train_2021_2021_validate_2022,2.922532397881497,3.9489997629257982,-0.46768952261555746,0.561246648340012,0.8464240917148768,4860,workload
pitches_thrown,hist_gradient_boosting,train_2021_2021_validate_2022,10.520682521504352,14.183443761960401,-2.0069727885258035,0.5900695826718007,2.9006341242404625,4860,workload
strikeouts,hist_gradient_boosting,train_2021_2022_validate_2023,1.8581247041485012,2.332072704223625,0.03485134173687515,0.40943628271267835,1.22063918213829,4860,workload
outs_recorded,hist_gradient_boosting,train_2021_2022_validate_2023,2.938467989287661,3.8060877407886964,0.09566814861612849,0.5287888699948077,1.0865958833162799,4860,workload
batters_faced,hist_gradient_boosting,train_2021_2022_validate_2023,2.8564631685394573,3.8887927126437862,-0.008648269737403418,0.6339420951144671,0.8379879858236389,4860,workload
pitches_thrown,hist_gradient_boosting,train_2021_2022_validate_2023,9.962734502198607,14.095656013152542,-0.1340690119850977,0.6578246176820666,2.932763708335669,4860,workload
strikeouts,hist_gradient_boosting,train_2021_2023_validate_2024,1.848639437372431,2.295194639091077,-0.016050653154701236,0.37911964840668316,1.197830133067125,4850,workload
outs_recorded,hist_gradient_boosting,train_2021_2023_validate_2024,2.826826163026409,3.7203013973023307,-0.06367037123405123,0.47873235512447526,1.0170862599454735,4850,workload
batters_faced,hist_gradient_boosting,train_2021_2023_validate_2024,2.6551182570227625,3.637808076605168,0.002256380158201013,0.597501004724932,0.7095030936882313,4850,workload
pitches_thrown,hist_gradient_boosting,train_2021_2023_validate_2024,9.14606204581881,12.967135335836607,-0.07408912335514063,0.6314060589845901,2.407179647868447,4850,workload
strikeouts,hist_gradient_boosting,train_2021_2021_validate_2022,1.815516235467857,2.3007410343447625,-0.21926928752410615,0.4223726959505558,1.2128137350575954,4860,opponent
outs_recorded,hist_gradient_boosting,train_2021_2021_validate_2022,3.027619563835399,3.930627431645371,-0.5347820665387037,0.46795363565987064,1.1563941580085908,4860,opponent
batters_faced,hist_gradient_boosting,train_2021_2021_validate_2022,2.9028630932636452,3.9268463548714534,-0.3406155744926208,0.5643867212290448,0.837113763356097,4860,opponent
pitches_thrown,hist_gradient_boosting,train_2021_2021_validate_2022,10.627858911428008,14.21041709475257,-2.2546029633769336,0.5912431942425361,2.9113619311266414,4860,opponent
strikeouts,hist_gradient_boosting,train_2021_2022_validate_2023,1.8207175209457775,2.2969887447510544,-0.04376444353659774,0.43749919292645,1.189446986402512,4860,opponent
outs_recorded,hist_gradient_boosting,train_2021_2022_validate_2023,2.931668473612679,3.7984036065067124,0.10132842153701081,0.5316278257404702,1.0835493116814225,4860,opponent
batters_faced,hist_gradient_boosting,train_2021_2022_validate_2023,2.8447813773670445,3.884283712401119,0.00750160473725135,0.634959404897632,0.8367127595479295,4860,opponent
pitches_thrown,hist_gradient_boosting,train_2021_2022_validate_2023,9.89990038690848,14.064529134578406,-0.073599554713631,0.6597012339128954,2.925717287022979,4860,opponent
strikeouts,hist_gradient_boosting,train_2021_2023_validate_2024,1.8119324194567243,2.25933698128271,-0.10814230361353046,0.4144129879098163,1.1629328848502036,4850,opponent
outs_recorded,hist_gradient_boosting,train_2021_2023_validate_2024,2.812832047340305,3.7077369966935847,-0.07641253454622945,0.48410465963904864,1.009831202863766,4850,opponent
batters_faced,hist_gradient_boosting,train_2021_2023_validate_2024,2.6490978168408916,3.6307043138801145,-0.030632639962689525,0.5996885121905049,0.7058883737008749,4850,opponent
pitches_thrown,hist_gradient_boosting,train_2021_2023_validate_2024,9.213585075572569,12.972412917406727,-0.4190288163715752,0.6316274744124001,2.4120666535160997,4850,opponent
strikeouts,hist_gradient_boosting,train_2021_2021_validate_2022,1.8154464159011876,2.2985474405149278,-0.20460843455464503,0.42245064371831426,1.2104458504875701,4860,recent
outs_recorded,hist_gradient_boosting,train_2021_2021_validate_2022,3.035186409754599,3.941521861013212,-0.4814392075005114,0.46083913463157994,1.1615211269362196,4860,recent
batters_faced,hist_gradient_boosting,train_2021_2021_validate_2022,2.912373813234832,3.933082729985125,-0.2806991732305818,0.5603925617146076,0.8399476092233087,4860,recent
pitches_thrown,hist_gradient_boosting,train_2021_2021_validate_2022,10.60500006560802,14.24704946110662,-2.1011803616237756,0.5864673673214438,2.928379781223072,4860,recent
strikeouts,hist_gradient_boosting,train_2021_2022_validate_2023,1.822433017113252,2.301707500228265,-0.04745694881468475,0.4333989853984181,1.193550737992641,4860,recent
