column,role,dtype,missing_count,description
pitch_KN_velocity_change_vs_season,feature,Float64,24253,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_KN_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
pitch_PO_usage,feature,float64,1885,Pre-game context or historical feature.
pitch_PO_velocity,feature,Float64,24260,Pre-game context or historical feature.
pitch_PO_whiff_rate,feature,float64,24260,Historical rate calculated using observations strictly before the game date.
pitch_PO_strike_rate,feature,float64,24260,Historical rate calculated using observations strictly before the game date.
pitch_PO_csw_rate,feature,float64,24260,Historical rate calculated using observations strictly before the game date.
pitch_PO_usage_change_vs_season,feature,float64,1885,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_PO_velocity_change_vs_season,feature,Float64,24260,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_PO_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
pitch_SC_usage,feature,float64,1885,Pre-game context or historical feature.
pitch_SC_velocity,feature,Float64,24284,Pre-game context or historical feature.
pitch_SC_whiff_rate,feature,float64,24284,Historical rate calculated using observations strictly before the game date.
pitch_SC_strike_rate,feature,float64,24284,Historical rate calculated using observations strictly before the game date.
pitch_SC_csw_rate,feature,float64,24284,Historical rate calculated using observations strictly before the game date.
pitch_SC_usage_change_vs_season,feature,float64,1885,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_SC_velocity_change_vs_season,feature,Float64,24284,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_SC_insufficient_history,feature,int64,0,Flag that the minimum historical sample was not available before this game.
pitch_SI_usage,feature,float64,1885,Pre-game context or historical feature.
pitch_SI_velocity,feature,Float64,9769,Pre-game context or historical feature.
pitch_SI_whiff_rate,feature,float64,9769,Historical rate calculated using observations strictly before the game date.
pitch_SI_strike_rate,feature,float64,9769,Historical rate calculated using observations strictly before the game date.
pitch_SI_csw_rate,feature,float64,9769,Historical rate calculated using observations strictly before the game date.
pitch_SI_usage_change_vs_season,feature,float64,1885,"Pre-game historical aggregate, shifted to exclude the current appearance."
pitch_SI_velocity_change_vs_season,feature,Float64,9769,"Pre-game historical aggregate, shifted to exclude the current appearance."
